model,sparse_enable,scheduling_enable,qps,hardware_name,iteration,request_batch_size,iteration_latency,average_utilization,normalized_variance,scheduling_remainder
llama4,True,False,1.5,gpu,1,256,0.014375713967490236,0,0,0
llama4,True,False,1.5,gpu,2,256,0.014379614436180396,0,0,0
llama4,True,False,1.5,gpu,3,256,0.014384131051100382,0,0,0
llama4,True,False,1.5,gpu,4,256,0.014388339592905457,0,0,0
llama4,True,False,1.5,gpu,5,256,0.014393164280940358,0,0,0
llama4,True,False,1.5,gpu,6,256,0.014398297042090172,0,0,0
llama4,True,False,1.5,gpu,7,256,0.014403121730125073,0,0,0
llama4,True,False,1.5,gpu,8,256,0.014407484308487605,0,0,0
llama4,True,False,1.5,gpu,9,256,0.014412154959965048,0,0,0
llama4,True,False,1.5,gpu,10,256,0.014415593318982841,0,0,0
llama4,True,False,1.5,gpu,11,256,0.014418723604885716,0,0,0
llama4,True,False,1.5,gpu,12,256,0.014422624073575873,0,0,0
llama4,True,False,1.5,gpu,13,256,0.014427140688495866,0,0,0
llama4,True,False,1.5,gpu,14,255,0.014426719851574607,0,0,0
llama4,True,False,1.5,gpu,15,260,0.014552605634540833,0,0,0
llama4,True,False,1.5,gpu,16,259,0.014499353955139276,0,0,0
llama4,True,False,1.5,gpu,17,259,0.014504028797568309,0,0,0
llama4,True,False,1.5,gpu,18,257,0.01447579928719767,0,0,0
llama4,True,False,1.5,gpu,19,257,0.014480471335658978,0,0,0
llama4,True,False,1.5,gpu,20,258,0.014491893613389168,0,0,0
llama4,True,False,1.5,gpu,21,258,0.014495026693259767,0,0,0
llama4,True,False,1.5,gpu,22,258,0.014498929955917648,0,0,0
llama4,True,False,1.5,gpu,23,257,0.01449709940958627,0,0,0
llama4,True,False,1.5,gpu,24,257,0.014501463384932661,0,0,0
llama4,True,False,1.5,gpu,25,259,0.014554027280040956,0,0,0
llama4,True,False,1.5,gpu,26,259,0.014559164232142357,0,0,0
