model,sparse_enable,scheduling_enable,qps,hardware_name,iteration,request_batch_size,iteration_latency,average_utilization,normalized_variance,scheduling_remainder
llama4,True,False,1.5,pim,1,64,0.0042774940619624835,0.0,nan,1
llama4,True,False,1.5,pim,2,64,0.0042776633371163775,0.0,nan,2
llama4,True,False,1.5,pim,3,64,0.004278248449924165,0.0,nan,3
llama4,True,False,1.5,pim,4,64,0.004278587000231953,0.0,nan,4
llama4,True,False,1.5,pim,5,64,0.004279207675796231,0.0,nan,5
llama4,True,False,1.5,pim,6,64,0.004279715501257913,0.0,nan,6
llama4,True,False,1.5,pim,7,64,0.004280166901668297,0.0,nan,7
llama4,True,False,1.5,pim,8,64,0.004280336176822191,0.0,nan,8
llama4,True,False,1.5,pim,9,64,0.004280808439527383,0.0,nan,9
llama4,True,False,1.5,pim,10,64,0.004281372690040363,0.0,nan,10
llama4,True,False,1.5,pim,11,64,0.004281598390245555,0.0,nan,11
llama4,True,False,1.5,pim,12,64,0.004281767665399449,0.0,nan,12
llama4,True,False,1.5,pim,13,64,0.004282106215707237,0.0,nan,13
llama4,True,False,1.5,pim,14,64,0.004282444766015025,0.0,nan,14
llama4,True,False,1.5,pim,15,64,0.004283065441579303,0.0,nan,15
llama4,True,False,1.5,pim,16,64,0.0042835732670409845,0.0,nan,0
llama4,True,False,1.5,pim,17,64,0.004385667234876142,74.9619140625,0.0601642496238198,1
llama4,True,False,1.5,pim,18,64,0.004385668871966605,83.00390625,0.06550894822366,2
llama4,True,False,1.5,pim,19,64,0.00435435761725389,91.02294921875,0.0690337586655712,3
llama4,True,False,1.5,pim,20,64,0.004354609636722101,99.03564453125,0.07263741200034134,4
llama4,True,False,1.5,pim,21,64,0.004386171819509385,107.03173828125,0.07517886098784168,5
llama4,True,False,1.5,pim,22,64,0.004386173456599848,115.0078125,0.07712892481076704,6
llama4,True,False,1.5,pim,23,64,0.004354616730780775,123.03076171875,0.07845503297916344,7
llama4,True,False,1.5,pim,24,64,0.0043864265674617015,131.01904296875,0.07928034773504263,8
llama4,True,False,1.5,pim,25,64,0.004354872570126732,138.99072265625,0.07983908904610798,9
llama4,True,False,1.5,pim,26,64,0.004323317481398122,147.0263671875,0.0806243096089051,10
llama4,True,False,1.5,pim,27,64,0.0043548818469726904,155.08544921875,0.08111043235794776,11
llama4,True,False,1.5,pim,28,64,0.0043864434840631536,163.12060546875,0.08158071924001348,12
llama4,True,False,1.5,pim,29,64,0.004386445666850438,171.13232421875,0.0818568503228785,13
llama4,True,False,1.5,pim,30,67,0.00436034669600057,179.13037109375,0.08247338559055288,14
llama4,True,False,1.5,pim,31,67,0.004329035986984676,187.1298828125,0.08274759451758716,15
llama4,True,False,1.5,pim,32,67,0.004392404186575139,195.13134765625,0.08341722635126797,0
llama4,True,False,1.5,pim,33,67,0.004360847460756065,109.85693359375,0.035317328471394835,1
llama4,True,False,1.5,pim,34,67,0.0044870907349369915,118.70068359375,0.040012080176378376,2
llama4,True,False,1.5,pim,35,67,0.004455536737602023,127.57177734375,0.04343933043357609,3
llama4,True,False,1.5,pim,36,67,0.004424474773873413,136.42919921875,0.0461575164223021,4
llama4,True,False,1.5,pim,37,67,0.004424479685144802,145.263671875,0.04845773789727827,5
llama4,True,False,1.5,pim,38,66,0.0044539673226265475,151.3134765625,0.06361247542421414,6
llama4,True,False,1.5,pim,39,66,0.004453969505413832,159.99658203125,0.06518911216287425,7
llama4,True,False,1.5,pim,40,66,0.004453974962382042,168.69091796875,0.06605370181297585,8
llama4,True,False,1.5,pim,41,66,0.004453977690866148,177.37353515625,0.06707639979779025,9
llama4,True,False,1.5,pim,42,66,0.004422419327956611,186.07958984375,0.06802665603637921,10
llama4,True,False,1.5,pim,43,66,0.004485542602137537,194.80419921875,0.06921475309847243,11
llama4,True,False,1.5,pim,44,66,0.004454232438818464,203.4921875,0.06989291493403664,12
llama4,True,False,1.5,pim,45,72,0.004462272052210556,212.220703125,0.07047946680302326,13
llama4,True,False,1.5,pim,46,72,0.004493836417785124,220.8798828125,0.07085307213605464,14
llama4,True,False,1.5,pim,47,71,0.004428897166128723,225.4873046875,0.07849590936068064,15
llama4,True,False,1.5,pim,48,70,0.004365267670224091,233.2880859375,0.08001191743649898,0
llama4,True,False,1.5,pim,49,70,0.004396829853011375,127.529296875,0.03289690621973006,1
llama4,True,False,1.5,pim,50,70,0.004491515309979586,136.90625,0.03742115109264557,2
llama4,True,False,1.5,pim,51,70,0.004491518038463691,146.275390625,0.04078605243700676,3
llama4,True,False,1.5,pim,52,70,0.004459960221250976,155.66064453125,0.043753827930839796,4
llama4,True,False,1.5,pim,53,70,0.004554643495431902,164.9912109375,0.04602592750490304,5
llama4,True,False,1.5,pim,54,70,0.0044599673153096495,174.34423828125,0.0479766342007069,6
llama4,True,False,1.5,pim,55,70,0.004554653863671502,183.72900390625,0.049478585578816306,7
llama4,True,False,1.5,pim,56,70,0.00445997768354925,193.0947265625,0.05095903257838265,8
llama4,True,False,1.5,pim,57,70,0.004428423686214281,202.4765625,0.0523621563284121,9
llama4,True,False,1.5,pim,58,70,0.004428425869001565,211.82080078125,0.053395316811579815,10
llama4,True,False,1.5,pim,59,70,0.00449154805178885,221.166015625,0.05411433269299585,11
