model,sparse_enable,scheduling_enable,qps,hardware_name,iteration,request_batch_size,iteration_latency,average_utilization,normalized_variance,scheduling_remainder
llama4,True,True,4.5,pim,1,64,0.004475414169830275,0.0,nan,1
llama4,True,True,4.5,pim,2,64,0.004475527019932871,0.0,nan,2
llama4,True,True,4.5,pim,3,64,0.004475809145189361,0.0,nan,3
llama4,True,True,4.5,pim,4,64,0.004476204120548447,0.0,nan,4
llama4,True,True,4.5,pim,5,64,0.004476373395702341,0.0,nan,5
llama4,True,True,4.5,pim,6,64,0.004476768371061427,0.0,nan,6
llama4,True,True,4.5,pim,7,64,0.00447748719626662,0.0,nan,7
llama4,True,True,4.5,pim,8,63,0.004471591966803694,0.0,nan,8
llama4,True,True,4.5,pim,9,63,0.004472289929714078,0.0,nan,9
llama4,True,True,4.5,pim,10,63,0.00447279775517576,0.0,nan,10
llama4,True,True,4.5,pim,11,63,0.0044738342683939315,0.0,nan,11
llama4,True,True,4.5,pim,12,63,0.0044739471184965275,0.0,nan,12
llama4,True,True,4.5,pim,13,63,0.0044742292437530175,0.0,nan,13
llama4,True,True,4.5,pim,14,63,0.004474567794060805,0.0,nan,14
llama4,True,True,4.5,pim,15,63,0.004474737069214699,0.0,nan,15
llama4,True,True,4.5,pim,16,63,0.004475132044573785,0.0,nan,0
llama4,True,True,4.5,pim,17,63,0.004501989844979631,72.712890625,0.06513512214789546,1
llama4,True,True,4.5,pim,18,62,0.004532518847840303,79.74853515625,0.07435552163432235,2
llama4,True,True,4.5,pim,19,61,0.004593567576715691,85.67822265625,0.08865540848705221,3
llama4,True,True,4.5,pim,20,61,0.00453045248798708,93.18310546875,0.09102704846217563,4
llama4,True,True,4.5,pim,21,61,0.004593579582045754,100.6884765625,0.09337839827786967,5
llama4,True,True,4.5,pim,22,61,0.004562020673439396,108.20703125,0.09520496170640994,6
llama4,True,True,4.5,pim,23,61,0.004530463401923502,115.70849609375,0.09652365422900525,7
llama4,True,True,4.5,pim,24,60,0.004624374792491986,122.4619140625,0.1008785000106667,8
llama4,True,True,4.5,pim,25,60,0.004592816429582449,129.90673828125,0.10171490630357938,9
llama4,True,True,4.5,pim,26,60,0.0045928202494601965,137.34814453125,0.10228143877651795,10
llama4,True,True,4.5,pim,27,60,0.004561262432247481,144.79052734375,0.10333220973473352,11
llama4,True,True,4.5,pim,28,60,0.004498145160731585,152.25048828125,0.10416754586149186,12
llama4,True,True,4.5,pim,29,63,0.004597755411801064,159.720703125,0.10522952118562896,13
llama4,True,True,4.5,pim,30,62,0.004565667907901337,165.97314453125,0.10786782349636029,14
llama4,True,True,4.5,pim,31,62,0.00456567445626319,173.384765625,0.10824628524943845,15
llama4,True,True,4.5,pim,32,62,0.004502556093353653,180.7626953125,0.10835590061644385,0
llama4,True,True,4.5,pim,33,62,0.004660358821837758,102.158203125,0.04158568599337823,1
llama4,True,True,4.5,pim,34,62,0.004628802096018685,110.37841796875,0.046503509250939025,2
llama4,True,True,4.5,pim,35,62,0.004597243733109148,118.5732421875,0.04944745611971193,3
llama4,True,True,4.5,pim,36,62,0.004629054661183716,126.7421875,0.051578906644998014,4
llama4,True,True,4.5,pim,37,62,0.0046293034064710005,134.9228515625,0.05343352176718297,5
llama4,True,True,4.5,pim,38,61,0.004628011658714326,141.4736328125,0.0662764423643787,6
llama4,True,True,4.5,pim,39,61,0.004596455478592073,149.6025390625,0.06766232082645533,7
llama4,True,True,4.5,pim,40,61,0.004596459844166642,157.701171875,0.0691314491296433,8
llama4,True,True,4.5,pim,41,61,0.0045964663925284945,165.84814453125,0.06999410418234728,9
llama4,True,True,4.5,pim,42,61,0.004628028029618958,173.994140625,0.07099029089214785,10
llama4,True,True,4.5,pim,43,64,0.0046334797819231315,182.08251953125,0.07187472025476445,11
llama4,True,True,4.5,pim,44,64,0.004570609618604058,190.2001953125,0.0729089131591748,12
llama4,True,True,4.5,pim,45,64,0.0046021712556945215,198.33349609375,0.07340479937747894,13
llama4,True,True,4.5,pim,46,64,0.0045708621837690895,206.43115234375,0.07384583164124214,14
llama4,True,True,4.5,pim,47,64,0.004602671474753195,214.56982421875,0.07478792891224638,15
llama4,True,True,4.5,pim,48,63,0.00457059488478989,221.56787109375,0.0795666452901445,0
llama4,True,True,4.5,pim,49,63,0.004697085267167637,120.611328125,0.03675641921513015,1
llama4,True,True,4.5,pim,50,63,0.004570849632742205,129.341796875,0.040539308276725784,2
llama4,True,True,4.5,pim,51,63,0.004665783289300879,138.095703125,0.044185931529426466,3
llama4,True,True,4.5,pim,52,63,0.004634471488891343,146.8447265625,0.04692314755028719,4
llama4,True,True,4.5,pim,53,63,0.004666033671678627,155.62548828125,0.04954857125883577,5
llama4,True,True,4.5,pim,54,63,0.004729156945859553,164.375,0.0520103587670285,6
llama4,True,True,4.5,pim,55,63,0.004634478582950016,173.1533203125,0.05440590244381191,7
llama4,True,True,4.5,pim,56,63,0.004634482948524585,181.93505859375,0.055761933414607015,8
llama4,True,True,4.5,pim,57,67,0.004575516404710231,190.71533203125,0.057397726763933676,9
llama4,True,True,4.5,pim,58,67,0.004733566241391158,199.47607421875,0.05866140251136366,10
llama4,True,True,4.5,pim,59,67,0.004702010606965726,208.2421875,0.05986715689466706,11
llama4,True,True,4.5,pim,60,67,0.004639388097540295,216.982421875,0.06143645988203789,12
llama4,True,True,4.5,pim,61,67,0.00467120229979579,225.7353515625,0.062074550854170726,13
llama4,True,True,4.5,pim,62,67,0.004639643936886253,234.47607421875,0.06266026710669237,14
llama4,True,True,4.5,pim,63,66,0.004702236978683346,242.47900390625,0.06361592079017254,15
llama4,True,True,4.5,pim,64,66,0.004702240252864273,251.2294921875,0.06454804887854639,0
llama4,True,True,4.5,pim,65,66,0.004639122981348378,134.45166015625,0.036167092660793876,1
llama4,True,True,4.5,pim,66,66,0.004670687346922947,143.7548828125,0.04034300941720799,2
llama4,True,True,4.5,pim,67,66,0.00479717609221023,153.0166015625,0.043873815493140934,3
llama4,True,True,4.5,pim,68,66,0.004702499366391158,162.283203125,0.046821270024545454,4
llama4,True,True,4.5,pim,69,66,0.004670943731965726,171.5302734375,0.048403631477146006,5
llama4,True,True,4.5,pim,70,66,0.004639634660040295,180.79345703125,0.05054613997640581,6
llama4,True,True,4.5,pim,71,71,0.004648987303365083,190.09912109375,0.05178335459815649,7
llama4,True,True,4.5,pim,72,71,0.004617430031849189,199.3662109375,0.053721533665402006,8
llama4,True,True,4.5,pim,73,71,0.004648992760333294,208.6171875,0.054971818272484506,9
llama4,True,True,4.5,pim,74,71,0.00468055603451422,217.8876953125,0.05602757414343463,10
llama4,True,True,4.5,pim,75,71,0.004680558762998326,227.14208984375,0.05643255535188629,11
llama4,True,True,4.5,pim,76,71,0.0046492496910728945,236.44384765625,0.057509941747465335,12
llama4,True,True,4.5,pim,77,71,0.004680811873860179,245.7099609375,0.058101771823013196,13
llama4,True,True,4.5,pim,78,70,0.00464508695804129,247.19189453125,0.06065536256487608,14
llama4,True,True,4.5,pim,79,70,0.004676652415009501,256.12451171875,0.06141427027531682,15
llama4,True,True,4.5,pim,80,70,0.004676903343084069,265.06396484375,0.062350338924398084,0
llama4,True,True,4.5,pim,81,70,0.0046769109828395635,142.845703125,0.03269357497966332,1
llama4,True,True,4.5,pim,82,70,0.004677160273823669,152.580078125,0.03655762971898362,2
llama4,True,True,4.5,pim,83,70,0.004708723002307774,162.28515625,0.039704145257889706,3
llama4,True,True,4.5,pim,84,70,0.0046456062764887,172.0458984375,0.0422016616399133,4
llama4,True,True,4.5,pim,85,71,0.004647690644337019,181.8056640625,0.04417669775621919,5
llama4,True,True,4.5,pim,86,71,0.004742375009911587,191.55078125,0.04598911158289706,6
llama4,True,True,4.5,pim,87,70,0.004708985935712406,197.64404296875,0.06072813023427095,7
llama4,True,True,4.5,pim,88,70,0.0046776752266965115,207.201171875,0.06130711577328453,8
llama4,True,True,4.5,pim,89,70,0.004677927246164722,216.7744140625,0.062012854402343054,9
llama4,True,True,4.5,pim,90,70,0.004709491611739291,226.3623046875,0.06283999808821673,10
llama4,True,True,4.5,pim,91,70,0.004741059251494786,235.982421875,0.06316521030485182,11
llama4,True,True,4.5,pim,92,70,0.004709748542478891,245.57275390625,0.06409354721303456,12
llama4,True,True,4.5,pim,93,70,0.004709751270962996,255.15966796875,0.06498947902219625,13
llama4,True,True,4.5,pim,94,70,0.004709754545143923,264.73779296875,0.06542302404160782,14
llama4,True,True,4.5,pim,95,69,0.004613525866647648,270.94189453125,0.0774717746943191,15
llama4,True,True,4.5,pim,96,69,0.004708210232222216,280.431640625,0.077666064251506,0
llama4,True,True,4.5,pim,97,69,0.0047082124150095005,148.08544921875,0.03587084795145868,1
llama4,True,True,4.5,pim,98,69,0.004739775143493606,157.974609375,0.03881963137792244,2
llama4,True,True,4.5,pim,99,78,0.004691202062686146,167.8984375,0.041492572859390356,3
llama4,True,True,4.5,pim,100,78,0.004754326973957537,177.74951171875,0.043429588343770364,4
llama4,True,True,4.5,pim,101,78,0.004754581721909852,187.650390625,0.045584107965566334,5
llama4,True,True,4.5,pim,102,78,0.004723271558590779,197.54736328125,0.0472402073098414,6
llama4,True,True,4.5,pim,103,78,0.004723274287074884,207.42724609375,0.0483520170481076,7
llama4,True,True,4.5,pim,104,77,0.0047222443813291996,215.62353515625,0.0558131706359658,8
llama4,True,True,4.5,pim,105,77,0.004722247655510126,225.4599609375,0.056485177905878835,9
llama4,True,True,4.5,pim,106,76,0.004721744162270525,234.71240234375,0.05888938802850761,10
llama4,True,True,4.5,pim,107,76,0.00478486634505781,244.50390625,0.05938798241963588,11
llama4,True,True,4.5,pim,108,76,0.004753310164935558,254.31201171875,0.060157379546284924,12
llama4,True,True,4.5,pim,109,75,0.00471994346430604,260.2919921875,0.06692455389993936,13
llama4,True,True,4.5,pim,110,75,0.004688634938077429,269.93115234375,0.0676627059862236,14
llama4,True,True,4.5,pim,111,75,0.004783322577832924,279.60546875,0.06799760159574664,15
llama4,True,True,4.5,pim,112,75,0.00465708585201385,289.255859375,0.06820972370341756,0
llama4,True,True,4.5,pim,113,76,0.004784605594440462,158.9697265625,0.030704664415155875,1
llama4,True,True,4.5,pim,114,75,0.004845913982539554,167.404296875,0.05044292180091321,2
llama4,True,True,4.5,pim,115,73,0.004747082709141193,172.15185546875,0.07061536885296713,3
llama4,True,True,4.5,pim,116,73,0.004715527074715762,182.49169921875,0.07172141486374273,4
llama4,True,True,4.5,pim,117,72,0.00474681923003974,192.11962890625,0.07736449828888226,5
llama4,True,True,4.5,pim,118,72,0.004746823595614309,202.41552734375,0.07795586138272843,6
llama4,True,True,4.5,pim,119,72,0.004747074523688877,212.740234375,0.07879860797013427,7
llama4,True,True,4.5,pim,120,72,0.004778885997460266,223.0390625,0.0795226856589358,8
llama4,True,True,4.5,pim,121,72,0.004747333637215761,233.3642578125,0.08001405716608594,9
llama4,True,True,4.5,pim,122,72,0.004715776911396688,243.67822265625,0.08078116112539939,10
llama4,True,True,4.5,pim,123,72,0.004747339639880793,253.9990234375,0.08116231653399736,11
llama4,True,True,4.5,pim,124,72,0.004716028930864898,264.30126953125,0.08201257309909979,12
