model,sparse_enable,scheduling_enable,qps,hardware_name,iteration,request_batch_size,iteration_latency,average_utilization,normalized_variance,scheduling_remainder
qwen3,True,True,0.0,pim,1,128,0.006795923666407664,0.0,nan,1
qwen3,True,True,0.0,pim,2,128,0.006795923666407664,0.0,nan,2
qwen3,True,True,0.0,pim,3,128,0.006795923666407664,0.0,nan,3
qwen3,True,True,0.0,pim,4,128,0.006795923666407664,0.0,nan,4
qwen3,True,True,0.0,pim,5,128,0.006795923666407664,0.0,nan,5
qwen3,True,True,0.0,pim,6,128,0.006795923666407664,0.0,nan,6
qwen3,True,True,0.0,pim,7,128,0.006795923666407664,0.0,nan,7
qwen3,True,True,0.0,pim,8,128,0.00679601388828208,0.0,nan,8
qwen3,True,True,0.0,pim,9,128,0.00679601388828208,0.0,nan,9
qwen3,True,True,0.0,pim,10,128,0.00679601388828208,0.0,nan,10
qwen3,True,True,0.0,pim,11,128,0.00679601388828208,0.0,nan,11
qwen3,True,True,0.0,pim,12,128,0.00679601388828208,0.0,nan,12
qwen3,True,True,0.0,pim,13,128,0.00679601388828208,0.0,nan,13
qwen3,True,True,0.0,pim,14,128,0.00679601388828208,0.0,nan,14
qwen3,True,True,0.0,pim,15,128,0.00679601388828208,0.0,nan,15
qwen3,True,True,0.0,pim,16,128,0.00679601388828208,0.0,nan,16
qwen3,True,True,0.0,pim,17,128,0.00679601388828208,0.0,nan,17
qwen3,True,True,0.0,pim,18,128,0.006796104110156496,0.0,nan,18
qwen3,True,True,0.0,pim,19,128,0.006796104110156496,0.0,nan,19
qwen3,True,True,0.0,pim,20,128,0.006796104110156496,0.0,nan,20
qwen3,True,True,0.0,pim,21,128,0.006796104110156496,0.0,nan,21
qwen3,True,True,0.0,pim,22,128,0.006796104110156496,0.0,nan,22
qwen3,True,True,0.0,pim,23,128,0.006796104110156496,0.0,nan,23
qwen3,True,True,0.0,pim,24,128,0.006796104110156496,0.0,nan,24
qwen3,True,True,0.0,pim,25,128,0.006796104110156496,0.0,nan,25
qwen3,True,True,0.0,pim,26,128,0.006796104110156496,0.0,nan,26
qwen3,True,True,0.0,pim,27,128,0.006796104110156496,0.0,nan,27
qwen3,True,True,0.0,pim,28,128,0.006796194332030912,0.0,nan,28
qwen3,True,True,0.0,pim,29,128,0.006796194332030912,0.0,nan,29
qwen3,True,True,0.0,pim,30,128,0.006796194332030912,0.0,nan,30
qwen3,True,True,0.0,pim,31,128,0.006796194332030912,0.0,nan,31
qwen3,True,True,0.0,pim,32,128,0.006796194332030912,0.0,nan,32
qwen3,True,True,0.0,pim,33,128,0.006796194332030912,0.0,nan,33
qwen3,True,True,0.0,pim,34,128,0.006796194332030912,0.0,nan,34
qwen3,True,True,0.0,pim,35,128,0.006796194332030912,0.0,nan,35
qwen3,True,True,0.0,pim,36,128,0.006796194332030912,0.0,nan,36
qwen3,True,True,0.0,pim,37,128,0.006796194332030912,0.0,nan,37
qwen3,True,True,0.0,pim,38,128,0.0067962845539053275,0.0,nan,38
qwen3,True,True,0.0,pim,39,128,0.0067962845539053275,0.0,nan,39
qwen3,True,True,0.0,pim,40,128,0.0067962845539053275,0.0,nan,40
qwen3,True,True,0.0,pim,41,128,0.0067962845539053275,0.0,nan,41
qwen3,True,True,0.0,pim,42,128,0.0067962845539053275,0.0,nan,42
qwen3,True,True,0.0,pim,43,128,0.0067962845539053275,0.0,nan,43
qwen3,True,True,0.0,pim,44,128,0.0067962845539053275,0.0,nan,44
qwen3,True,True,0.0,pim,45,128,0.0067962845539053275,0.0,nan,45
qwen3,True,True,0.0,pim,46,128,0.0067962845539053275,0.0,nan,46
qwen3,True,True,0.0,pim,47,128,0.0067962845539053275,0.0,nan,47
qwen3,True,True,0.0,pim,48,128,0.006796374775779743,0.0,nan,48
qwen3,True,True,0.0,pim,49,128,0.006796374775779743,0.0,nan,49
qwen3,True,True,0.0,pim,50,128,0.006796374775779743,0.0,nan,50
qwen3,True,True,0.0,pim,51,128,0.006796374775779743,0.0,nan,51
qwen3,True,True,0.0,pim,52,128,0.006796374775779743,0.0,nan,52
qwen3,True,True,0.0,pim,53,128,0.006796374775779743,0.0,nan,53
qwen3,True,True,0.0,pim,54,128,0.006796374775779743,0.0,nan,54
qwen3,True,True,0.0,pim,55,128,0.006796374775779743,0.0,nan,55
qwen3,True,True,0.0,pim,56,128,0.006796374775779743,0.0,nan,56
qwen3,True,True,0.0,pim,57,128,0.006796374775779743,0.0,nan,57
qwen3,True,True,0.0,pim,58,128,0.006796464997654159,0.0,nan,58
qwen3,True,True,0.0,pim,59,128,0.006796464997654159,0.0,nan,59
qwen3,True,True,0.0,pim,60,128,0.006796464997654159,0.0,nan,60
qwen3,True,True,0.0,pim,61,128,0.006796464997654159,0.0,nan,61
qwen3,True,True,0.0,pim,62,128,0.006796464997654159,0.0,nan,62
qwen3,True,True,0.0,pim,63,128,0.006796464997654159,0.0,nan,63
qwen3,True,True,0.0,pim,64,128,0.006796464997654159,0.0,nan,64
qwen3,True,True,0.0,pim,65,128,0.006796464997654159,0.0,nan,65
qwen3,True,True,0.0,pim,66,128,0.006796464997654159,0.0,nan,66
qwen3,True,True,0.0,pim,67,128,0.006796464997654159,0.0,nan,67
qwen3,True,True,0.0,pim,68,128,0.006796555219528575,0.0,nan,68
qwen3,True,True,0.0,pim,69,128,0.006796555219528575,0.0,nan,69
qwen3,True,True,0.0,pim,70,128,0.006796555219528575,0.0,nan,70
qwen3,True,True,0.0,pim,71,128,0.006796555219528575,0.0,nan,71
qwen3,True,True,0.0,pim,72,128,0.006796555219528575,0.0,nan,72
qwen3,True,True,0.0,pim,73,128,0.006796555219528575,0.0,nan,73
qwen3,True,True,0.0,pim,74,128,0.006796555219528575,0.0,nan,74
qwen3,True,True,0.0,pim,75,128,0.006796555219528575,0.0,nan,75
qwen3,True,True,0.0,pim,76,128,0.006796555219528575,0.0,nan,76
qwen3,True,True,0.0,pim,77,128,0.006796555219528575,0.0,nan,77
qwen3,True,True,0.0,pim,78,128,0.006796645441402991,0.0,nan,78
qwen3,True,True,0.0,pim,79,128,0.006796645441402991,0.0,nan,79
qwen3,True,True,0.0,pim,80,128,0.006796645441402991,0.0,nan,80
qwen3,True,True,0.0,pim,81,128,0.006796645441402991,0.0,nan,81
qwen3,True,True,0.0,pim,82,128,0.006796645441402991,0.0,nan,82
qwen3,True,True,0.0,pim,83,128,0.006796645441402991,0.0,nan,83
qwen3,True,True,0.0,pim,84,128,0.006796645441402991,0.0,nan,84
qwen3,True,True,0.0,pim,85,128,0.006796645441402991,0.0,nan,85
qwen3,True,True,0.0,pim,86,128,0.006796645441402991,0.0,nan,86
qwen3,True,True,0.0,pim,87,128,0.006796645441402991,0.0,nan,87
qwen3,True,True,0.0,pim,88,128,0.006796735663277407,0.0,nan,88
qwen3,True,True,0.0,pim,89,128,0.006796735663277407,0.0,nan,89
qwen3,True,True,0.0,pim,90,128,0.006796735663277407,0.0,nan,90
qwen3,True,True,0.0,pim,91,128,0.006796735663277407,0.0,nan,91
qwen3,True,True,0.0,pim,92,128,0.006796735663277407,0.0,nan,92
qwen3,True,True,0.0,pim,93,128,0.006796735663277407,0.0,nan,93
qwen3,True,True,0.0,pim,94,128,0.006796735663277407,0.0,nan,94
qwen3,True,True,0.0,pim,95,128,0.006796735663277407,0.0,nan,95
qwen3,True,True,0.0,pim,96,128,0.006796735663277407,0.0,nan,96
qwen3,True,True,0.0,pim,97,128,0.006796735663277407,0.0,nan,97
qwen3,True,True,0.0,pim,98,128,0.006796825885151823,0.0,nan,98
qwen3,True,True,0.0,pim,99,128,0.006796825885151823,0.0,nan,99
qwen3,True,True,0.0,pim,100,128,0.006796825885151823,0.0,nan,100
qwen3,True,True,0.0,pim,101,128,0.006796825885151823,0.0,nan,101
qwen3,True,True,0.0,pim,102,128,0.006796825885151823,0.0,nan,102
qwen3,True,True,0.0,pim,103,128,0.006796825885151823,0.0,nan,103
qwen3,True,True,0.0,pim,104,128,0.006796825885151823,0.0,nan,104
qwen3,True,True,0.0,pim,105,128,0.006796825885151823,0.0,nan,105
qwen3,True,True,0.0,pim,106,128,0.006796825885151823,0.0,nan,106
qwen3,True,True,0.0,pim,107,128,0.006796825885151823,0.0,nan,107
qwen3,True,True,0.0,pim,108,128,0.006796916107026239,0.0,nan,108
qwen3,True,True,0.0,pim,109,128,0.006796916107026239,0.0,nan,109
qwen3,True,True,0.0,pim,110,128,0.006796916107026239,0.0,nan,110
qwen3,True,True,0.0,pim,111,128,0.006796916107026239,0.0,nan,111
qwen3,True,True,0.0,pim,112,128,0.006796916107026239,0.0,nan,112
qwen3,True,True,0.0,pim,113,128,0.006796916107026239,0.0,nan,113
qwen3,True,True,0.0,pim,114,128,0.006796916107026239,0.0,nan,114
qwen3,True,True,0.0,pim,115,128,0.006796916107026239,0.0,nan,115
qwen3,True,True,0.0,pim,116,128,0.006796916107026239,0.0,nan,116
qwen3,True,True,0.0,pim,117,128,0.006796916107026239,0.0,nan,117
qwen3,True,True,0.0,pim,118,128,0.0067970063289006545,0.0,nan,118
qwen3,True,True,0.0,pim,119,128,0.0067970063289006545,0.0,nan,119
qwen3,True,True,0.0,pim,120,128,0.0067970063289006545,0.0,nan,120
qwen3,True,True,0.0,pim,121,128,0.0067970063289006545,0.0,nan,121
qwen3,True,True,0.0,pim,122,128,0.0067970063289006545,0.0,nan,122
qwen3,True,True,0.0,pim,123,128,0.0067970063289006545,0.0,nan,123
qwen3,True,True,0.0,pim,124,128,0.0067970063289006545,0.0,nan,124
qwen3,True,True,0.0,pim,125,128,0.0067970063289006545,0.0,nan,125
qwen3,True,True,0.0,pim,126,128,0.0067970063289006545,0.0,nan,126
qwen3,True,True,0.0,pim,127,128,0.0067970063289006545,0.0,nan,127
qwen3,True,True,0.0,pim,128,128,0.00679709655077507,0.0,nan,0
qwen3,True,True,0.0,pim,129,128,0.00679709655077507,952.98876953125,0.013566653371288763,1
qwen3,True,True,0.0,pim,130,128,0.00679709655077507,961.068359375,0.013834328394897026,2
