model,sparse_enable,scheduling_enable,qps,hardware_name,iteration,request_batch_size,iteration_latency,average_utilization,normalized_variance,scheduling_remainder
qwen,True,False,2.5,gpu,1,256,0.011508664388462124,0,0,0
qwen,True,False,2.5,gpu,2,256,0.011511183441157853,0,0,0
qwen,True,False,2.5,gpu,3,256,0.011514199903570367,0,0,0
qwen,True,False,2.5,gpu,4,256,0.011517415329869598,0,0,0
qwen,True,False,2.5,gpu,5,254,0.011501655908409592,0,0,0
qwen,True,False,2.5,gpu,6,254,0.011504173156667833,0,0,0
qwen,True,False,2.5,gpu,7,254,0.011506093513265925,0,0,0
qwen,True,False,2.5,gpu,8,253,0.011505275593225308,0,0,0
qwen,True,False,2.5,gpu,9,252,0.011495753885033409,0,0,0
qwen,True,False,2.5,gpu,10,251,0.011479008413233925,0,0,0
qwen,True,False,2.5,gpu,11,251,0.011482119846496077,0,0,0
qwen,True,False,2.5,gpu,12,252,0.011511173200450562,0,0,0
qwen,True,False,2.5,gpu,13,251,0.011509028870934265,0,0,0
qwen,True,False,2.5,gpu,14,251,0.011512239786139774,0,0,0
qwen,True,False,2.5,gpu,15,251,0.011515152255515214,0,0,0
qwen,True,False,2.5,gpu,16,251,0.01151766679711722,0,0,0
qwen,True,False,2.5,gpu,17,250,0.011499992605733983,0,0,0
qwen,True,False,2.5,gpu,18,251,0.011515360905926617,0,0,0
qwen,True,False,2.5,gpu,19,251,0.011518273375302056,0,0,0
qwen,True,False,2.5,gpu,20,250,0.011514326879843145,0,0,0
qwen,True,False,2.5,gpu,21,249,0.011499480349273391,0,0,0
qwen,True,False,2.5,gpu,22,249,0.011501993086437911,0,0,0
qwen,True,False,2.5,gpu,23,248,0.01149811178861008,0,0,0
qwen,True,False,2.5,gpu,24,250,0.011516199656729297,0,0,0
qwen,True,False,2.5,gpu,25,249,0.011511348137255484,0,0,0
qwen,True,False,2.5,gpu,26,249,0.011513860874420002,0,0,0
qwen,True,False,2.5,gpu,27,249,0.011515776719924377,0,0,0
qwen,True,False,2.5,gpu,28,249,0.011518488420975609,0,0,0
qwen,True,False,2.5,gpu,29,248,0.011484240402023928,0,0,0
qwen,True,False,2.5,gpu,30,252,0.011584642225845255,0,0,0
qwen,True,False,2.5,gpu,31,252,0.011587655079382794,0,0,0
qwen,True,False,2.5,gpu,32,251,0.011584133578259641,0,0,0
qwen,True,False,2.5,gpu,33,251,0.011587145529578437,0,0,0
qwen,True,False,2.5,gpu,34,251,0.011590256962840589,0,0,0
qwen,True,False,2.5,gpu,35,251,0.011593169432216027,0,0,0
