model,sparse_enable,scheduling_enable,qps,hardware_name,iteration,request_batch_size,iteration_latency,average_utilization,normalized_variance,scheduling_remainder
qwen,True,False,3.5,pim,1,64,0.005718716119443215,0.0,nan,1
qwen,True,False,3.5,pim,2,64,0.005718825442980105,0.0,nan,2
qwen,True,False,3.5,pim,3,64,0.0057191169724118114,0.0,nan,3
qwen,True,False,3.5,pim,4,64,0.005719444943022481,0.0,nan,4
qwen,True,False,3.5,pim,5,64,0.005719590707738334,0.0,nan,5
qwen,True,False,3.5,pim,6,64,0.005719845795991077,0.0,nan,6
qwen,True,False,3.5,pim,7,64,0.005720028001885894,0.0,nan,7
qwen,True,False,3.5,pim,8,64,0.005720246648959673,0.0,nan,8
qwen,True,False,3.5,pim,9,64,0.005721181331416989,0.0,nan,9
qwen,True,False,3.5,pim,10,64,0.005721472860848695,0.0,nan,10
qwen,True,False,3.5,pim,11,64,0.005721800831459365,0.0,nan,11
qwen,True,False,3.5,pim,12,63,0.005714405195538042,0.0,nan,12
qwen,True,False,3.5,pim,13,62,0.005700609662019021,0.0,nan,13
qwen,True,False,3.5,pim,14,62,0.0057009376326296905,0.0,nan,14
qwen,True,False,3.5,pim,15,62,0.00570104695616658,0.0,nan,15
qwen,True,False,3.5,pim,16,62,0.005701302044419323,0.0,nan,0
qwen,True,False,3.5,pim,17,61,0.006206935140698435,33.6904296875,0.07057936323950165,1
qwen,True,False,3.5,pim,18,61,0.0062069372552736165,36.98876953125,0.07785186872153552,2
qwen,True,False,3.5,pim,19,61,0.006110622017419602,40.34130859375,0.08528508272287749,3
qwen,True,False,3.5,pim,20,61,0.006206941836853177,43.66162109375,0.09061922343368083,4
qwen,True,False,3.5,pim,21,61,0.006206945008715949,46.96728515625,0.09497930616914964,5
qwen,True,False,3.5,pim,22,61,0.00620694606600354,50.25341796875,0.09901210312233868,6
qwen,True,False,3.5,pim,23,63,0.006215414677244977,53.55419921875,0.10135810524877564,7
qwen,True,False,3.5,pim,24,62,0.006118337447240145,56.6953125,0.10558446573348312,8
qwen,True,False,3.5,pim,25,62,0.006118338504527736,59.9833984375,0.10770725065583851,9
qwen,True,False,3.5,pim,26,61,0.006114878702294326,61.93310546875,0.12768174523769824,10
qwen,True,False,3.5,pim,27,61,0.0061148804644403105,65.1494140625,0.129391920667286,11
qwen,True,False,3.5,pim,28,61,0.006211200283873885,68.3564453125,0.13069641805970122,12
qwen,True,False,3.5,pim,29,61,0.0062115782843011206,71.60400390625,0.13253619907563977,13
qwen,True,False,3.5,pim,30,61,0.006307897751305499,74.8271484375,0.13363181078355466,14
qwen,True,False,3.5,pim,31,61,0.006018949923168271,78.02197265625,0.13428988649105328,15
qwen,True,False,3.5,pim,32,61,0.006307901980455863,81.2626953125,0.13528223318503588,0
qwen,True,False,3.5,pim,33,61,0.006404597333312294,47.50830078125,0.04835432880156431,1
qwen,True,False,3.5,pim,34,67,0.006221193231846154,51.19873046875,0.05623348608634823,2
qwen,True,False,3.5,pim,35,67,0.006221194289133745,54.8642578125,0.0609542065804093,3
qwen,True,False,3.5,pim,36,67,0.006414207346848571,58.59130859375,0.0649807075457259,4
qwen,True,False,3.5,pim,37,67,0.006318268347275805,62.30126953125,0.06804067696546756,5
qwen,True,False,3.5,pim,38,67,0.0063186477574198275,65.98779296875,0.07179324956870022,6
qwen,True,False,3.5,pim,39,67,0.006318649519565812,69.65380859375,0.07431824196428448,7
qwen,True,False,3.5,pim,40,66,0.006124089217222354,72.36376953125,0.0812868921491086,8
qwen,True,False,3.5,pim,41,66,0.0062204097415143236,76.0107421875,0.08269245481753958,9
qwen,True,False,3.5,pim,42,66,0.006220411151231111,79.65478515625,0.08390144794276745,10
qwen,True,False,3.5,pim,43,66,0.006317106504087543,83.2763671875,0.08501427053121875,11
qwen,True,False,3.5,pim,44,71,0.006331720392623089,86.908203125,0.0864449318758248,12
qwen,True,False,3.5,pim,45,71,0.00623578068819193,90.57568359375,0.08715317865418475,13
qwen,True,False,3.5,pim,46,71,0.006332100507625505,94.21533203125,0.08795899951809052,14
qwen,True,False,3.5,pim,47,71,0.00633210226977149,97.86181640625,0.0886794367949122,15
qwen,True,False,3.5,pim,48,71,0.00623578879406346,101.50927734375,0.08983890237358876,0
qwen,True,False,3.5,pim,49,71,0.0065247419086386415,57.439453125,0.04023494925696406,1
qwen,True,False,3.5,pim,50,71,0.006428427728072217,61.60986328125,0.047777807501011176,2
qwen,True,False,3.5,pim,51,71,0.006332114604793383,65.79931640625,0.05185488927008269,3
qwen,True,False,3.5,pim,52,70,0.0062346424577598624,69.4541015625,0.06164609595150241,4
qwen,True,False,3.5,pim,53,70,0.006234644572335044,73.59521484375,0.06390878920585318,5
qwen,True,False,3.5,pim,54,73,0.0063409742563423415,77.76904296875,0.06665049679193186,6
qwen,True,False,3.5,pim,55,73,0.006437292666059129,81.9072265625,0.06812426821334877,7
qwen,True,False,3.5,pim,56,72,0.0063402055680367815,85.54931640625,0.07456183967664598,8
qwen,True,False,3.5,pim,57,72,0.006340583568464017,89.7001953125,0.07701619668834372,9
qwen,True,False,3.5,pim,58,72,0.006436904092755986,93.81787109375,0.07845613906568681,10
qwen,True,False,3.5,pim,59,72,0.0064372824456124175,97.96240234375,0.07940410933350439,11
qwen,True,False,3.5,pim,60,72,0.00643728561747519,102.0673828125,0.08036800972043236,12
qwen,True,False,3.5,pim,61,72,0.006340972494196357,106.19384765625,0.0817136879685859,13
qwen,True,False,3.5,pim,62,72,0.006533608256342341,110.376953125,0.08305021073725796,14
qwen,True,False,3.5,pim,63,72,0.006437669256769576,114.50146484375,0.08430824681149326,15
qwen,True,False,3.5,pim,64,74,0.0063513459096002384,118.63330078125,0.0850480514370275,0
qwen,True,False,3.5,pim,65,74,0.006543981319317026,65.79638671875,0.03503717695432386,1
qwen,True,False,3.5,pim,66,74,0.006448043377031852,70.35546875,0.041521527684110666,2
qwen,True,False,3.5,pim,67,74,0.006448045491607033,74.90576171875,0.04577214356385221,3
qwen,True,False,3.5,pim,68,74,0.0064480493683281995,79.44580078125,0.0499197973353387,4
qwen,True,False,3.5,pim,69,74,0.006448051482903381,83.97802734375,0.05241495874028182,5
qwen,True,False,3.5,pim,70,74,0.006351737654766153,88.55126953125,0.054819701391105896,6
qwen,True,False,3.5,pim,71,74,0.00654475176976857,93.1259765625,0.05685830118419311,7
qwen,True,False,3.5,pim,72,74,0.006448812770195805,97.72265625,0.05848720026394825,8
qwen,True,False,3.5,pim,73,74,0.006545131532341789,102.24462890625,0.060387765835978845,9
qwen,True,False,3.5,pim,74,79,0.006456506349406138,106.76708984375,0.061925157490447774,10
qwen,True,False,3.5,pim,75,79,0.006456884349833372,111.3125,0.0635548623840932,11
qwen,True,False,3.5,pim,76,79,0.006456887521696144,115.84423828125,0.06419672642401704,12
qwen,True,False,3.5,pim,77,78,0.006358268333500634,119.04052734375,0.07479936999221426,13
qwen,True,False,3.5,pim,78,78,0.00645496544850305,123.5703125,0.07530079946524594,14
qwen,True,False,3.5,pim,79,78,0.006551284915507428,128.07080078125,0.07595687508933337,15
qwen,True,False,3.5,pim,80,78,0.00655166432565145,132.57958984375,0.07621757509636676,0
qwen,True,False,3.5,pim,81,77,0.00645381488304909,72.4111328125,0.035990719886993906,1
qwen,True,False,3.5,pim,82,77,0.006550133645195074,77.33740234375,0.04274580320013053,2
qwen,True,False,3.5,pim,83,77,0.006646828998051506,82.294921875,0.04735384167921557,3
