model,sparse_enable,scheduling_enable,qps,hardware_name,iteration,request_batch_size,iteration_latency,average_utilization,normalized_variance,scheduling_remainder
llama4,True,False,4.0,gpu,1,256,0.014586085267750095,0,0,0
llama4,True,False,4.0,gpu,2,256,0.01459121802889991,0,0,0
llama4,True,False,4.0,gpu,3,256,0.014595426570704985,0,0,0
llama4,True,False,4.0,gpu,4,256,0.014600405295297342,0,0,0
llama4,True,False,4.0,gpu,5,255,0.014581105906392996,0,0,0
llama4,True,False,4.0,gpu,6,255,0.014586391307116402,0,0,0
llama4,True,False,4.0,gpu,7,254,0.014569668261840318,0,0,0
llama4,True,False,4.0,gpu,8,254,0.014573874009677669,0,0,0
llama4,True,False,4.0,gpu,9,254,0.014577771684400102,0,0,0
llama4,True,False,4.0,gpu,10,257,0.014697862214640967,0,0,0
llama4,True,False,4.0,gpu,11,256,0.014690077035969602,0,0,0
llama4,True,False,4.0,gpu,12,256,0.014695209797119418,0,0,0
llama4,True,False,4.0,gpu,13,256,0.014699572375481949,0,0,0
llama4,True,False,4.0,gpu,14,255,0.014663308899858146,0,0,0
llama4,True,False,4.0,gpu,15,258,0.014740815212462854,0,0,0
llama4,True,False,4.0,gpu,16,258,0.0147462588406953,0,0,0
llama4,True,False,4.0,gpu,17,258,0.014750624213025556,0,0,0
llama4,True,False,4.0,gpu,18,258,0.014754835548798355,0,0,0
llama4,True,False,4.0,gpu,19,258,0.014758738811456246,0,0,0
llama4,True,False,4.0,gpu,20,266,0.014969136884243336,0,0,0
llama4,True,False,4.0,gpu,21,266,0.014973051322772112,0,0,0
llama4,True,False,4.0,gpu,22,266,0.014978352090318007,0,0,0
llama4,True,False,4.0,gpu,23,264,0.014953481310885027,0,0,0
llama4,True,False,4.0,gpu,24,263,0.01495236190568609,0,0,0
llama4,True,False,4.0,gpu,25,267,0.015094617344118988,0,0,0
llama4,True,False,4.0,gpu,26,266,0.015061315119350768,0,0,0
llama4,True,False,4.0,gpu,27,264,0.015010394966622827,0,0,0
llama4,True,False,4.0,gpu,28,264,0.015014614684298797,0,0,0
llama4,True,False,4.0,gpu,29,264,0.015018680365417304,0,0,0
llama4,True,False,4.0,gpu,30,265,0.015029524583814593,0,0,0
llama4,True,False,4.0,gpu,31,264,0.015004598561791878,0,0,0
llama4,True,False,4.0,gpu,32,263,0.014949526751710726,0,0,0
llama4,True,False,4.0,gpu,33,262,0.014923568942585903,0,0,0
llama4,True,False,4.0,gpu,34,260,0.014917328712327163,0,0,0
llama4,True,False,4.0,gpu,35,262,0.015002618561741097,0,0,0
llama4,True,False,4.0,gpu,36,262,0.015008221814466458,0,0,0
llama4,True,False,4.0,gpu,37,262,0.015012746811289616,0,0,0
llama4,True,False,4.0,gpu,38,262,0.015017117771555316,0,0,0
llama4,True,False,4.0,gpu,39,262,0.015021026622148648,0,0,0
llama4,True,False,4.0,gpu,40,267,0.015183921309702916,0,0,0
llama4,True,False,4.0,gpu,41,266,0.015152774860073801,0,0,0
llama4,True,False,4.0,gpu,42,263,0.015088647223532616,0,0,0
llama4,True,False,4.0,gpu,43,262,0.015082176759368762,0,0,0
llama4,True,False,4.0,gpu,44,261,0.01504863211972714,0,0,0
llama4,True,False,4.0,gpu,45,263,0.015115760514558516,0,0,0
