model,sparse_enable,scheduling_enable,qps,hardware_name,iteration,request_batch_size,iteration_latency,average_utilization,normalized_variance,scheduling_remainder
llama4,True,False,4.0,pim,1,64,0.004966157007947327,0.0,nan,1
llama4,True,False,4.0,pim,2,64,0.004966439133203817,0.0,nan,2
llama4,True,False,4.0,pim,3,64,0.004966664833409009,0.0,nan,3
llama4,True,False,4.0,pim,4,64,0.004967003383716797,0.0,nan,4
llama4,True,False,4.0,pim,5,63,0.004958527302355846,0.0,nan,5
llama4,True,False,4.0,pim,6,63,0.00495897870276623,0.0,nan,6
llama4,True,False,4.0,pim,7,63,0.004959507390522719,0.0,nan,7
llama4,True,False,4.0,pim,8,63,0.004959676665676613,0.0,nan,8
llama4,True,False,4.0,pim,9,62,0.004952575647841622,0.0,nan,9
llama4,True,False,4.0,pim,10,62,0.004952970623200708,0.0,nan,10
llama4,True,False,4.0,pim,11,62,0.004953802298508497,0.0,nan,11
llama4,True,False,4.0,pim,12,61,0.00495206782237994,0.0,nan,12
llama4,True,False,4.0,pim,13,61,0.004952237097533834,0.0,nan,13
llama4,True,False,4.0,pim,14,61,0.004952575647841622,0.0,nan,14
llama4,True,False,4.0,pim,15,61,0.004953027048252006,0.0,nan,15
llama4,True,False,4.0,pim,16,61,0.00495347844866239,0.0,nan,0
llama4,True,False,4.0,pim,17,60,0.005030957629042999,78.42138671875,0.05793129760045942,1
llama4,True,False,4.0,pim,18,60,0.004967839266133462,86.5966796875,0.06392915674494581,2
llama4,True,False,4.0,pim,19,60,0.005030964723101673,94.814453125,0.06771532879095095,3
llama4,True,False,4.0,pim,20,60,0.00506252854297942,103.0205078125,0.0717260932569342,4
llama4,True,False,4.0,pim,21,60,0.005062531271463526,111.14990234375,0.0752198048548012,5
llama4,True,False,4.0,pim,22,60,0.004999660562447631,119.32958984375,0.07746606882268514,6
llama4,True,False,4.0,pim,23,60,0.0050312221995380945,127.51416015625,0.07926357021326892,7
llama4,True,False,4.0,pim,24,60,0.004999665473719021,135.71533203125,0.08045107298421574,8
llama4,True,False,4.0,pim,25,60,0.0049996698392935895,143.8740234375,0.08169198882857777,9
llama4,True,False,4.0,pim,26,60,0.005031480767368158,151.9970703125,0.08374349358190661,10
llama4,True,False,4.0,pim,27,63,0.005037187813321469,160.18017578125,0.08506432448133139,11
llama4,True,False,4.0,pim,28,63,0.005100556558608753,168.36865234375,0.08570540023600685,12
llama4,True,False,4.0,pim,29,63,0.005005882015576964,176.5146484375,0.08637092756934975,13
llama4,True,False,4.0,pim,30,63,0.005005885835454711,184.7001953125,0.08754659591954779,14
llama4,True,False,4.0,pim,31,63,0.005006135126438817,192.8759765625,0.08839801583426252,15
llama4,True,False,4.0,pim,32,62,0.005005367608400943,199.96630859375,0.09279871106106986,0
llama4,True,False,4.0,pim,33,62,0.005068489245491406,113.12109375,0.03848743947757953,1
llama4,True,False,4.0,pim,34,62,0.005100053065369153,122.17529296875,0.04338849260159264,2
llama4,True,False,4.0,pim,35,62,0.005068743993443721,131.18994140625,0.04697128847196212,3
llama4,True,False,4.0,pim,36,62,0.0051003083590182895,140.2080078125,0.0505053839184273,4
llama4,True,False,4.0,pim,37,62,0.005068997650002395,149.26611328125,0.052871397096565895,5
llama4,True,False,4.0,pim,38,62,0.005100559832789679,158.28515625,0.05489887365369818,6
llama4,True,False,4.0,pim,39,62,0.00513212528975789,167.3388671875,0.05647768656087209,7
llama4,True,False,4.0,pim,40,64,0.00507291436623082,176.40673828125,0.057836151251157555,8
llama4,True,False,4.0,pim,41,64,0.005104477094714926,185.4970703125,0.059628967645466276,9
llama4,True,False,4.0,pim,42,64,0.005136286385699031,194.51806640625,0.06103154155777348,10
llama4,True,False,4.0,pim,43,64,0.0051047280227894945,203.56201171875,0.06149380303999566,11
llama4,True,False,4.0,pim,44,64,0.005073171842667242,212.59814453125,0.062472381389228365,12
llama4,True,False,4.0,pim,45,64,0.00513629620824181,221.6611328125,0.0629006459624979,13
llama4,True,False,4.0,pim,46,64,0.005104987136316378,230.697265625,0.06374347866002021,14
llama4,True,False,4.0,pim,47,64,0.005168109864800484,239.76025390625,0.06446721533369677,15
llama4,True,False,4.0,pim,48,64,0.00510499313898141,248.79736328125,0.06554091201332295,0
llama4,True,False,4.0,pim,49,64,0.005200171720949621,135.07470703125,0.034777576397351774,1
llama4,True,False,4.0,pim,50,64,0.005105495540827369,144.79443359375,0.03937826178913437,2
llama4,True,False,4.0,pim,51,64,0.005294858269311474,154.45166015625,0.04279507746340318,3
llama4,True,False,4.0,pim,52,64,0.0051055009977955795,164.16845703125,0.04504798985855065,4
llama4,True,False,4.0,pim,53,68,0.005110690362391942,173.8759765625,0.04742897240121418,5
llama4,True,False,4.0,pim,54,68,0.005142255273663332,183.59423828125,0.04921959330790522,6
llama4,True,False,4.0,pim,55,68,0.0051738196392379,193.33056640625,0.05095273904582228,7
llama4,True,False,4.0,pim,56,68,0.005110704004812469,203.03564453125,0.05202566249498726,8
llama4,True,False,4.0,pim,57,68,0.005110706733296574,212.75927734375,0.0532051320499764,9
llama4,True,False,4.0,pim,58,68,0.005205883132477501,222.4716796875,0.05403706285073335,10
llama4,True,False,4.0,pim,59,68,0.005142768589445712,232.16064453125,0.05505694166258979,11
llama4,True,False,4.0,pim,60,68,0.005142773500717101,241.8662109375,0.05583806021308107,12
llama4,True,False,4.0,pim,61,68,0.005142776229201207,251.583984375,0.05667527056545285,13
llama4,True,False,4.0,pim,62,68,0.005142778957685312,261.24462890625,0.05772876450894395,14
llama4,True,False,4.0,pim,63,68,0.005205900594775775,270.9560546875,0.058239187838512604,15
llama4,True,False,4.0,pim,64,68,0.005111225506047165,280.69091796875,0.05918359513765226,0
