model,sparse_enable,scheduling_enable,qps,hardware_name,iteration,request_batch_size,iteration_latency,average_utilization,normalized_variance,scheduling_remainder
qwen,True,False,2.0,gpu,1,256,0.011899470177778787,0,0,0
qwen,True,False,2.0,gpu,2,256,0.011901790266587801,0,0,0
qwen,True,False,2.0,gpu,3,256,0.011905005692887032,0,0,0
qwen,True,False,2.0,gpu,4,256,0.011907723709469475,0,0,0
qwen,True,False,2.0,gpu,5,256,0.011910541207995277,0,0,0
qwen,True,False,2.0,gpu,6,256,0.011914353525954652,0,0,0
qwen,True,False,2.0,gpu,7,256,0.01191806636197067,0,0,0
qwen,True,False,2.0,gpu,8,256,0.011920386450779686,0,0,0
qwen,True,False,2.0,gpu,9,256,0.011922905503475413,0,0,0
qwen,True,False,2.0,gpu,10,256,0.01192502662839771,0,0,0
qwen,True,False,2.0,gpu,11,256,0.011927247235263366,0,0,0
qwen,True,False,2.0,gpu,12,258,0.01198067834114179,0,0,0
qwen,True,False,2.0,gpu,13,258,0.011983895571878511,0,0,0
qwen,True,False,2.0,gpu,14,256,0.011976620223651953,0,0,0
qwen,True,False,2.0,gpu,15,256,0.011979437722177754,0,0,0
qwen,True,False,2.0,gpu,16,256,0.011983150558193774,0,0,0
qwen,True,False,2.0,gpu,17,256,0.011986763912266434,0,0,0
qwen,True,False,2.0,gpu,18,257,0.012004442376861893,0,0,0
qwen,True,False,2.0,gpu,19,257,0.01200716129566308,0,0,0
qwen,True,False,2.0,gpu,20,257,0.012009283322804123,0,0,0
qwen,True,False,2.0,gpu,21,257,0.012011604313831878,0,0,0
qwen,True,False,2.0,gpu,22,257,0.012013925304859634,0,0,0
qwen,True,False,2.0,gpu,23,257,0.012017141633377608,0,0,0
qwen,True,False,2.0,gpu,24,260,0.01207753930600243,0,0,0
qwen,True,False,2.0,gpu,25,260,0.012080360413403206,0,0,0
qwen,True,False,2.0,gpu,26,260,0.012084076858294204,0,0,0
qwen,True,False,2.0,gpu,27,260,0.012087693821241842,0,0,0
qwen,True,False,2.0,gpu,28,260,0.012090017518925831,0,0,0
qwen,True,False,2.0,gpu,29,260,0.01209273914438325,0,0,0
qwen,True,False,2.0,gpu,30,261,0.012112151870634011,0,0,0
qwen,True,False,2.0,gpu,31,260,0.012110504712953,0,0,0
qwen,True,False,2.0,gpu,32,260,0.012112828410636989,0,0,0
qwen,True,False,2.0,gpu,33,260,0.012116047445811198,0,0,0
qwen,True,False,2.0,gpu,34,260,0.01211876907126862,0,0,0
qwen,True,False,2.0,gpu,35,260,0.012121590178669397,0,0,0
qwen,True,False,2.0,gpu,36,262,0.012138232306557202,0,0,0
qwen,True,False,2.0,gpu,37,262,0.012141851073942328,0,0,0
qwen,True,False,2.0,gpu,38,262,0.012144276058007162,0,0,0
qwen,True,False,2.0,gpu,39,262,0.012146999487902072,0,0,0
qwen,True,False,2.0,gpu,40,262,0.012149424471966907,0,0,0
qwen,True,False,2.0,gpu,41,262,0.012151849456031743,0,0,0
qwen,True,False,2.0,gpu,42,264,0.01218326053888915,0,0,0
qwen,True,False,2.0,gpu,43,264,0.012186483182938333,0,0,0
