model,sparse_enable,scheduling_enable,qps,hardware_name,iteration,request_batch_size,iteration_latency,average_utilization,normalized_variance,scheduling_remainder
qwen,True,False,2.5,pim,1,64,0.005242576964144579,0.0,nan,1
qwen,True,False,2.5,pim,2,64,0.005242686287681469,0.0,nan,2
qwen,True,False,2.5,pim,3,64,0.005243281173036499,0.0,nan,3
qwen,True,False,2.5,pim,4,64,0.005243426937752352,0.0,nan,4
qwen,True,False,2.5,pim,5,64,0.0052437184671840584,0.0,nan,5
qwen,True,False,2.5,pim,6,64,0.005244192202510581,0.0,nan,6
qwen,True,False,2.5,pim,7,64,0.005244520173121251,0.0,nan,7
qwen,True,False,2.5,pim,8,64,0.005244665937837104,0.0,nan,8
qwen,True,False,2.5,pim,9,64,0.005245187940834207,0.0,nan,9
qwen,True,False,2.5,pim,10,64,0.005245479470265913,0.0,nan,10
qwen,True,False,2.5,pim,11,64,0.005245661676160729,0.0,nan,11
qwen,True,False,2.5,pim,12,64,0.005245770999697619,0.0,nan,12
qwen,True,False,2.5,pim,13,64,0.005245989646771399,0.0,nan,13
qwen,True,False,2.5,pim,14,64,0.005246135411487252,0.0,nan,14
qwen,True,False,2.5,pim,15,64,0.005246426940918958,0.0,nan,15
qwen,True,False,2.5,pim,16,64,0.005246900676245481,0.0,nan,0
qwen,True,False,2.5,pim,17,64,0.005649133418776474,33.82763671875,0.0719146657857255,1
qwen,True,False,2.5,pim,18,64,0.005745451828493262,37.240234375,0.08078891384071668,2
qwen,True,False,2.5,pim,19,64,0.005649512476491299,40.67919921875,0.08772062488391781,3
qwen,True,False,2.5,pim,20,64,0.005842525534206126,44.06787109375,0.09202295948387984,4
qwen,True,False,2.5,pim,21,64,0.00564989329635211,47.49462890625,0.09569995522263393,5
qwen,True,False,2.5,pim,22,64,0.005746211353639701,50.94580078125,0.1000749068011828,6
qwen,True,False,2.5,pim,23,64,0.005746213468214883,54.3759765625,0.10347554654312041,7
qwen,True,False,2.5,pim,24,64,0.005842531877931671,57.7939453125,0.1064911946391206,8
qwen,True,False,2.5,pim,25,67,0.005755063251746326,61.21728515625,0.10760911866466467,9
qwen,True,False,2.5,pim,26,67,0.005851385185755084,64.63134765625,0.10862915707640089,10
qwen,True,False,2.5,pim,27,67,0.0056587550624762496,68.052734375,0.10972173079612713,11
qwen,True,False,2.5,pim,28,67,0.005659132710474287,71.5029296875,0.11051104330108405,12
