model,sparse_enable,scheduling_enable,qps,hardware_name,iteration,request_batch_size,iteration_latency,average_utilization,normalized_variance,scheduling_remainder
qwen3,True,True,12.0,gpu,1,256,0.012218448880119527,0,0,0
qwen3,True,True,12.0,gpu,2,252,0.012198359059683197,0,0,0
qwen3,True,True,12.0,gpu,3,261,0.012387912308941661,0,0,0
qwen3,True,True,12.0,gpu,4,269,0.012568933920466593,0,0,0
qwen3,True,True,12.0,gpu,5,276,0.012740230348819187,0,0,0
qwen3,True,True,12.0,gpu,6,288,0.012974308992168506,0,0,0
qwen3,True,True,12.0,gpu,7,291,0.013024067846662546,0,0,0
qwen3,True,True,12.0,gpu,8,303,0.013233077524703544,0,0,0
qwen3,True,True,12.0,gpu,9,306,0.013275576526840232,0,0,0
qwen3,True,True,12.0,gpu,10,313,0.013394253865067703,0,0,0
qwen3,True,True,12.0,gpu,11,311,0.013397716816915286,0,0,0
qwen3,True,True,12.0,gpu,12,314,0.013513551980409776,0,0,0
qwen3,True,True,12.0,gpu,13,327,0.013794138707272334,0,0,0
qwen3,True,True,12.0,gpu,14,334,0.014008530222145803,0,0,0
qwen3,True,True,12.0,gpu,15,338,0.014131159152843565,0,0,0
qwen3,True,True,12.0,gpu,16,345,0.014254732710238171,0,0,0
qwen3,True,True,12.0,gpu,17,351,0.014363041058258474,0,0,0
qwen3,True,True,12.0,gpu,18,362,0.014582753200717178,0,0,0
qwen3,True,True,12.0,gpu,19,371,0.014737995686955784,0,0,0
qwen3,True,True,12.0,gpu,20,372,0.014767249809234474,0,0,0
qwen3,True,True,12.0,gpu,21,370,0.014735648784677794,0,0,0
qwen3,True,True,12.0,gpu,22,382,0.015080204481992994,0,0,0
qwen3,True,True,12.0,gpu,23,383,0.015171853892793657,0,0,0
qwen3,True,True,12.0,gpu,24,381,0.015178451735590742,0,0,0
qwen3,True,True,12.0,gpu,25,384,0.015260656934068702,0,0,0
qwen3,True,True,12.0,gpu,26,389,0.015427509046001701,0,0,0
qwen3,True,True,12.0,gpu,27,405,0.015729200514639892,0,0,0
qwen3,True,True,12.0,gpu,28,413,0.01599235885096102,0,0,0
qwen3,True,True,12.0,gpu,29,420,0.016196975069656394,0,0,0
qwen3,True,True,12.0,gpu,30,425,0.01634461202603177,0,0,0
